FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
1695573,Delta,7901,ATL,BOS,2024-09-01 04:38,2024-09-01 05:04,2024-09-01 07:38,2024-09-01 07:56,18,Maintenance,False,True,Boeing 777,N26996,1902
1695574,United,4558,ATL,SEA,2024-09-01 03:33,2024-09-01 04:01,2024-09-01 06:33,2024-09-01 06:25,-8,,False,True,Boeing 737,N83088,629
1695575,Southwest,9677,JFK,SFO,2024-09-01 10:09,2024-09-01 10:11,2024-09-01 16:09,2024-09-01 16:39,30,Weather,True,False,Boeing 737,N63157,839
1695576,Delta,1357,LAX,MIA,2024-09-01 15:58,2024-09-01 16:12,2024-09-01 19:58,2024-09-01 20:04,6,Maintenance,True,False,Airbus A320,N14385,1138
1695577,Southwest,0661,LAX,JFK,2024-09-01 12:27,2024-09-01 12:52,2024-09-01 16:27,2024-09-01 16:53,26,Maintenance,True,True,Boeing 777,N81667,733
1695578,American Airlines,5990,ORD,MIA,2024-09-01 07:18,2024-09-01 07:30,2024-09-01 12:18,2024-09-01 12:26,8,Weather,False,False,Boeing 737,N65382,1369
1695579,American Airlines,6975,DFW,JFK,2024-09-01 10:49,2024-09-01 11:00,2024-09-01 14:49,2024-09-01 14:54,5,Maintenance,True,True,Boeing 737,N85479,272
1695580,Southwest,3622,LAX,MIA,2024-09-01 16:23,2024-09-01 16:38,2024-09-01 17:23,2024-09-01 17:43,20,Maintenance,True,True,Boeing 777,N85785,1627
1695581,United,1888,LAX,SFO,2024-09-01 08:42,2024-09-01 08:51,2024-09-01 11:42,2024-09-01 12:05,23,Air Traffic Control,False,False,Boeing 777,N92974,2649
1695582,American Airlines,6483,ORD,BOS,2024-09-01 03:54,2024-09-01 04:00,2024-09-01 05:54,2024-09-01 06:24,30,Air Traffic Control,False,False,Boeing 737,N54534,615
1695583,American Airlines,7527,DFW,BOS,2024-09-01 19:27,2024-09-01 19:38,2024-09-01 21:27,2024-09-01 21:22,-5,,False,True,Airbus A320,N93589,592
1695584,Southwest,2781,LAX,SEA,2024-09-01 21:12,2024-09-01 21:34,2024-09-02 01:12,2024-09-02 01:22,10,Weather,False,False,Boeing 737,N50071,2400
1695585,Southwest,7980,JFK,BOS,2024-09-01 00:11,2024-09-01 00:18,2024-09-01 04:11,2024-09-01 04:08,-3,,True,True,Airbus A320,N23707,1421
1695586,American Airlines,7252,LAX,SEA,2024-09-01 14:10,2024-09-01 14:38,2024-09-01 17:10,2024-09-01 17:24,14,Air Traffic Control,False,False,Boeing 737,N51619,1539
1695587,Southwest,6389,JFK,SEA,2024-09-01 21:21,2024-09-01 21:23,2024-09-01 22:21,2024-09-01 22:21,0,,True,True,Boeing 737,N47591,1245
1695588,United,0231,ATL,BOS,2024-09-01 10:11,2024-09-01 10:23,2024-09-01 13:11,2024-09-01 13:16,5,Maintenance,False,True,Boeing 777,N94667,1850
1695589,Delta,9415,JFK,SEA,2024-09-01 04:19,2024-09-01 04:22,2024-09-01 05:19,2024-09-01 05:40,21,Weather,False,True,Boeing 737,N52503,1867
1695590,Southwest,2226,DFW,JFK,2024-09-01 06:14,2024-09-01 06:23,2024-09-01 08:14,2024-09-01 08:09,-5,,False,True,Boeing 737,N50803,1006
